timestamp,image,diagnosis,confidence
2025-07-10 14:11,ISIC_0024307.jpg,Dermatofibroma,36.81%
2025-07-10 14:12,ISIC_0024307.jpg,Dermatofibroma,36.81%
2025-07-10 14:12,ISIC_0024307.jpg,Dermatofibroma,36.81%
2025-07-10 14:12,ISIC_0024307.jpg,Dermatofibroma,36.81%
2025-07-10 14:12,ISIC_0024307.jpg,Dermatofibroma,36.81%
2025-07-10 16:17,IMG_1167.jpg,Dermatofibroma,37.51%
2025-07-10 16:18,download.jpg,Dermatofibroma,37.03%
2025-07-10 16:19,download.jpg,Dermatofibroma,37.43%
2025-07-10 16:20,images.jpg,Dermatofibroma,36.91%
2025-07-10 16:22,download.jpg,Dermatofibroma,36.89%
2025-07-10 16:23,download.jpg,Dermatofibroma,36.89%
2025-07-10 17:32,ISIC_0024307.jpg,Dermatofibroma,36.81%
2025-07-10 18:14,IMG_1167.jpg,Dermatofibroma,37.51%
2025-07-10 18:16,download.jpg,Dermatofibroma,37.03%
2025-07-10 18:26,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-10 18:26,download.jpg,Vascular lesions,90.31%
2025-07-10 18:44,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-10 21:50,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-10 22:37,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-10 22:37,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-10 22:37,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-10 22:37,download.jpg,Melanocytic nevi,65.48%
2025-07-10 22:38,download.jpg,Benign keratosis-like lesions,79.11%
2025-07-10 22:38,download.jpg,Benign keratosis-like lesions,44.04%
2025-07-11 16:25,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-11 17:08,download.jpg,Vascular lesions,97.10%
2025-07-11 17:12,download.jpg,Vascular lesions,97.10%
2025-07-11 17:12,download.jpg,Vascular lesions,97.10%
2025-07-11 17:12,download.jpg,Vascular lesions,97.10%
2025-07-11 17:14,0230-MIS-dermoscopic.jpg,Vascular lesions,84.88%
2025-07-11 17:14,0230-MiS-macro-v2.jpg,Vascular lesions,55.72%
2025-07-11 17:14,0230-MiS-macro.jpg,Basal cell carcinoma,46.54%
2025-07-11 17:15,12-pubic-melanoma-m.jpg,Vascular lesions,80.84%
2025-07-11 17:15,acral-01.jpg,Vascular lesions,78.96%
2025-07-11 19:09,acral-01.jpg,Vascular lesions,78.96%
2025-07-11 21:50,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-11 21:51,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-11 21:57,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-11 22:00,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-11 22:10,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-12 12:07,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
2025-07-12 12:33,ISIC_0024307.jpg,Basal cell carcinoma,66.68%
